Date,Open,High,Low,Close,Volume
03/18/2024,"170.02","174.72","165.90","173.80","108,214,398"
03/15/2024,"163.16","165.18","160.76","163.57","97,146,828"
03/14/2024,"167.77","171.17","160.51","162.50","126,325,695"
03/13/2024,"173.05","176.05","169.15","169.48","106,524,492"
03/12/2024,"177.77","179.43","172.41","177.54","87,391,680"
03/11/2024,"175.45","182.87","174.80","177.77","85,391,531"
03/08/2024,"181.50","182.73","174.70","175.34","85,544,641"
03/07/2024,"174.35","180.04","173.70","178.65","102,129,000"
03/06/2024,"179.99","181.58","173.70","176.54","107,920,898"
03/05/2024,"183.05","184.59","177.57","180.74","119,660,797"
03/04/2024,"198.73","199.75","186.72","188.14","134,334,891"
03/01/2024,"200.52","204.52","198.50","202.64","82,243,117"
02/29/2024,"204.18","205.28","198.45","201.88","85,906,969"
02/28/2024,"200.42","205.30","198.44","202.04","99,806,172"
02/27/2024,"204.04","205.60","198.26","199.73","108,645,398"
02/26/2024,"192.29","201.78","192.00","199.40","111,747,102"
02/23/2024,"195.31","197.57","191.50","191.97","78,841,922"
02/22/2024,"194.00","198.32","191.36","197.41","92,739,453"
02/21/2024,"193.36","199.44","191.95","194.77","103,844,000"
02/20/2024,"196.13","198.60","189.13","193.76","104,545,797"
